iter	Logloss
0	0.6930886963
1	0.6930164678
2	0.6929333856
3	0.6928695326
4	0.6928104186
5	0.6927499137
6	0.6926928959
7	0.6926013423
8	0.6925323037
9	0.6924518067
10	0.6923814948
11	0.6922935581
12	0.692204234
13	0.6921312763
14	0.6920642388
15	0.6920073714
16	0.6919196599
17	0.691854609
18	0.6917881211
19	0.6917256378
20	0.6916544215
21	0.6915690442
22	0.6915086839
23	0.6913879799
24	0.6913074911
25	0.691254906
26	0.6911985443
27	0.6911199133
28	0.6910304204
29	0.6909554971
30	0.6908960062
31	0.6907980464
32	0.69074196
33	0.690678608
34	0.6905968698
35	0.690545341
36	0.6904677656
37	0.6904038869
38	0.6903398298
39	0.6902708507
40	0.6901824039
41	0.6900643579
42	0.6899946803
43	0.6899246016
44	0.6898635814
45	0.6897930619
46	0.6897110262
47	0.6896424134
48	0.6895787665
49	0.6895109358
50	0.6894369761
51	0.689337339
52	0.6892552064
53	0.6891816017
54	0.6891156408
55	0.689018497
56	0.6889649064
57	0.6888926982
58	0.6888267751
59	0.6887840533
60	0.6887230447
61	0.6886463436
62	0.6885746442
63	0.6885185259
64	0.6884182822
65	0.688348542
66	0.6882874321
67	0.6882072383
68	0.6881320381
69	0.6880648085
70	0.6880019456
71	0.6879230656
72	0.6878474344
73	0.6877602363
74	0.6876765274
75	0.6875975232
76	0.6875134886
77	0.6874201126
78	0.6873640305
79	0.6872872645
80	0.6872252358
81	0.6871812214
82	0.6871118917
83	0.6870354709
84	0.6869261117
85	0.6868699083
86	0.686814277
87	0.6867636152
88	0.6867089624
89	0.6866461606
90	0.6866080801
91	0.6865078385
92	0.68644569
93	0.6863247005
94	0.6862969304
95	0.6862271788
96	0.6861739714
97	0.6861127949
98	0.6860316035
99	0.6859856557
100	0.6859296764
101	0.6858677965
102	0.6858063276
103	0.6857430518
104	0.685684516
105	0.6856125723
106	0.6855654283
107	0.685496882
108	0.6853969701
109	0.6852988249
110	0.6852413155
111	0.6851595905
112	0.6851142068
113	0.6850533702
114	0.6849561344
115	0.6848404698
116	0.6847579807
117	0.6846953006
118	0.6846284131
119	0.6845606671
120	0.6845010988
121	0.6844271535
122	0.6843570843
123	0.6842519592
124	0.6841608778
125	0.6841009619
126	0.6840060502
127	0.6839283948
128	0.683836685
129	0.6837762217
130	0.6837060007
131	0.6836474412
132	0.6835697868
133	0.6835007433
134	0.6834407574
135	0.683347138
136	0.6832800039
137	0.6832175651
138	0.6831453319
139	0.6830488253
140	0.6829459839
141	0.6828796034
142	0.6828089879
143	0.6827511929
144	0.6826922401
145	0.6826135606
146	0.6825497421
147	0.6824836907
148	0.6824371837
149	0.682378196
150	0.6822971163
151	0.6822138432
152	0.6821665513
153	0.6821100134
154	0.6820545342
155	0.6819581102
156	0.6819168472
157	0.6818637048
158	0.6817368226
159	0.6816834209
160	0.6816008802
161	0.681528529
162	0.6814778861
163	0.6813867378
164	0.6813293975
165	0.6812334556
166	0.6811568857
167	0.6811033097
168	0.6810115043
169	0.6809468374
170	0.6809003283
171	0.6808339776
172	0.6807254838
173	0.6806553366
174	0.6805916892
175	0.6805229583
176	0.6804621291
177	0.6803658244
178	0.6802985496
179	0.6802507117
180	0.6801505
181	0.6800886997
182	0.6800024212
183	0.6799212393
184	0.6798658397
185	0.679790224
186	0.6796765651
187	0.6796222332
188	0.6795855007
189	0.6795120859
190	0.6794246962
191	0.6793595471
192	0.6793180346
193	0.6792594221
194	0.6791977552
195	0.6791179787
196	0.6790421125
197	0.678982626
198	0.6789036192
199	0.6788319426
200	0.6787719706
201	0.678716079
202	0.6786498812
203	0.6785798184
204	0.6784957635
205	0.6784533226
206	0.6784024598
207	0.6783066871
208	0.6782413571
209	0.6781418535
210	0.6780606181
211	0.6779965568
212	0.6779181061
213	0.6778452562
214	0.6777726113
215	0.6777096639
216	0.6776412171
217	0.6775747686
218	0.6775109595
219	0.6774587884
220	0.677389939
221	0.6773390143
222	0.6772755089
223	0.6772052845
224	0.6771116136
225	0.6770316772
226	0.6769766063
227	0.6769278105
228	0.6768670646
229	0.676824266
230	0.6767773644
231	0.67666813
232	0.6765761181
233	0.6765399266
234	0.6764823996
235	0.6764318881
236	0.6763879046
237	0.6763028562
238	0.6762566269
239	0.6762094307
240	0.6761545485
241	0.6760557215
242	0.6760028725
243	0.6759439365
244	0.6758810998
245	0.6758207598
246	0.6757543179
247	0.6757002074
248	0.6756502141
249	0.67560182
250	0.6755240815
251	0.6754558163
252	0.6753897176
253	0.6753202395
254	0.6752419041
255	0.6751567903
256	0.6750640412
257	0.6750095924
258	0.6749427802
259	0.6748833662
260	0.6748243175
261	0.6747444126
262	0.674638462
263	0.674563527
264	0.6744894757
265	0.6744382768
266	0.6743181426
267	0.6742245229
268	0.6741600506
269	0.6740977307
270	0.6740515048
271	0.6739910185
272	0.6739238266
273	0.6738762806
274	0.6738228245
275	0.6737261241
276	0.6736540252
277	0.673560398
278	0.6734893928
279	0.6734388575
280	0.6733889047
281	0.6733112307
282	0.673229692
283	0.6731724161
284	0.6731111909
285	0.6730631421
286	0.6729942853
287	0.6729325026
288	0.6728443269
289	0.6727659624
290	0.6726726465
291	0.6726365938
292	0.6725746769
293	0.6725200582
294	0.6724578763
295	0.6724056162
296	0.6723424418
297	0.6722984874
298	0.6722125209
299	0.6721249897
300	0.6720380732
301	0.6719734973
302	0.6719185294
303	0.6718483824
304	0.6717971047
305	0.6717364733
306	0.6717002447
307	0.6716504619
308	0.6715949739
309	0.6715512699
310	0.6714812767
311	0.6714278511
312	0.6713691527
313	0.6712684688
314	0.6711933207
315	0.6711125405
316	0.6710642359
317	0.6710201253
318	0.6709770896
319	0.6708890381
320	0.670840749
321	0.6707647832
322	0.6706951997
323	0.6706346725
324	0.6705738738
325	0.6705318434
326	0.6704715179
327	0.6703889707
328	0.6703012427
329	0.6702288369
330	0.6701369033
331	0.6700290777
332	0.6699849434
333	0.6698863882
334	0.6698392708
335	0.6697991885
336	0.6697452699
337	0.6696984701
338	0.6696211024
339	0.6695564914
340	0.6694982722
341	0.669449275
342	0.6693781266
343	0.669328825
344	0.66925021
345	0.6692031685
346	0.6691169664
347	0.6690635869
348	0.6689860125
349	0.6689174982
350	0.6688626738
351	0.6687785348
352	0.6687100147
353	0.6686291987
354	0.668570129
355	0.6684971495
356	0.6684718884
357	0.6684144903
358	0.6683412564
359	0.6682944458
360	0.6682137748
361	0.6681467145
362	0.6680871999
363	0.6680237593
364	0.667965291
365	0.6679099034
366	0.6678407908
367	0.6677542117
368	0.6676888964
369	0.6676342332
370	0.6675431762
371	0.6674946851
372	0.6674373792
373	0.6673902399
374	0.6673145684
375	0.6672325007
376	0.6671452389
377	0.6671012995
378	0.6670313572
379	0.6669653702
380	0.666895201
381	0.6668316615
382	0.6667651687
383	0.6666949862
384	0.6666190777
385	0.6665323816
386	0.6664853628
387	0.6664263981
388	0.6663549682
389	0.6663271982
390	0.6662730075
391	0.6661876736
392	0.6661003895
393	0.6660405179
394	0.6659472249
395	0.6658575739
396	0.6657930713
397	0.6657469572
398	0.6656683263
399	0.665564842
400	0.6654798018
401	0.665373537
402	0.6653352647
403	0.6652875516
404	0.6652258122
405	0.6651766165
406	0.665125416
407	0.6650561613
408	0.6649897972
409	0.664942712
410	0.6648797376
411	0.6648095211
412	0.6647473203
413	0.6646998115
414	0.6646041368
415	0.6645323975
416	0.664484028
417	0.6644050195
418	0.6643161532
419	0.6642275869
420	0.664152818
421	0.6640700292
422	0.6640128281
423	0.663966826
424	0.663877945
425	0.6638205487
426	0.6637415309
427	0.6636802513
428	0.663628567
429	0.6635613734
430	0.6634988498
431	0.663434033
432	0.6633643332
433	0.663280052
434	0.6632211734
435	0.6631383893
436	0.6630610324
437	0.6629632252
438	0.6629081515
439	0.662876585
440	0.6628304465
441	0.6627732213
442	0.6626997546
443	0.6626280713
444	0.66258743
445	0.6625320888
446	0.6624734561
447	0.6624160521
448	0.662367878
449	0.6623113106
450	0.6622586927
451	0.6622210142
452	0.6621716111
453	0.6620748616
454	0.6620076685
455	0.6619496687
456	0.661909021
