iter	Passed	Remaining
0	83	41621
1	166	41422
2	239	39609
3	312	38760
4	394	39064
5	473	38958
6	559	39405
7	643	39593
8	728	39759
9	813	39851
10	895	39805
11	977	39742
12	1064	39859
13	1146	39791
14	1224	39598
15	1306	39524
16	1382	39283
17	1465	39247
18	1542	39060
19	1622	38935
20	1706	38923
21	1786	38826
22	1871	38809
23	1953	38740
24	2045	38867
25	2121	38675
26	2200	38544
27	2277	38393
28	2356	38268
29	2440	38230
30	2521	38152
31	2612	38207
32	2687	38027
33	2768	37945
34	2852	37899
35	2935	37838
36	3018	37773
37	3102	37715
38	3186	37667
39	3264	37541
40	3348	37492
41	3431	37416
42	3512	37330
43	3593	37246
44	3677	37181
45	3759	37106
46	3841	37028
47	3919	36911
48	4011	36925
49	4096	36868
50	4180	36806
51	4262	36725
52	4342	36623
53	4425	36551
54	4510	36494
55	4597	36448
56	4672	36315
57	4754	36230
58	4832	36120
59	4913	36032
60	5002	36004
61	5076	35860
62	5151	35736
63	5234	35658
64	5310	35541
65	5389	35442
66	5468	35340
67	5561	35332
68	5637	35212
69	5721	35146
70	5793	35005
71	5874	34919
72	5954	34829
73	6046	34807
74	6130	34739
75	6206	34624
76	6284	34525
77	6366	34446
78	6451	34383
79	6530	34284
80	6620	34244
81	6698	34144
82	6782	34074
83	6863	33988
84	6936	33864
85	7010	33749
86	7093	33674
87	7168	33561
88	7255	33504
89	7335	33419
90	7416	33334
91	7494	33238
92	7575	33153
93	7659	33084
94	7743	33009
95	7818	32904
96	7898	32816
97	7975	32714
98	8051	32611
99	8141	32565
100	8223	32487
101	8308	32418
102	8390	32340
103	8475	32272
104	8553	32178
105	8640	32118
106	8725	32047
107	8802	31948
108	8884	31869
109	8968	31798
110	9044	31697
111	9129	31625
112	9201	31514
113	9277	31412
114	9356	31324
115	9447	31273
116	9529	31194
117	9607	31101
118	9682	31000
119	9765	30924
120	9856	30871
121	9935	30784
122	10008	30675
123	10082	30572
124	10164	30493
125	10249	30423
126	10331	30343
127	10413	30265
128	10496	30188
129	10581	30115
130	10661	30032
131	10740	29943
132	10833	29892
133	10915	29813
134	10999	29739
135	11077	29647
136	11161	29573
137	11253	29519
138	11327	29418
139	11403	29323
140	11480	29231
141	11554	29131
142	11634	29046
143	11718	28971
144	11805	28904
145	11889	28827
146	11969	28743
147	12052	28664
148	12129	28574
149	12217	28508
150	12292	28412
151	12368	28316
152	12452	28242
153	12527	28147
154	12610	28067
155	12691	27985
156	12781	27922
157	12865	27848
158	12949	27772
159	13032	27693
160	13108	27600
161	13194	27529
162	13284	27466
163	13359	27371
164	13443	27295
165	13529	27222
166	13614	27146
167	13697	27069
168	13781	26992
169	13865	26916
170	13948	26836
171	14029	26754
172	14112	26674
173	14185	26576
174	14275	26511
175	14358	26432
176	14437	26346
177	14518	26264
178	14597	26178
179	14681	26101
180	14762	26017
181	14843	25934
182	14916	25839
183	14991	25746
184	15075	25669
185	15148	25573
186	15230	25492
187	15311	25411
188	15401	25342
189	15473	25246
190	15549	25156
191	15625	25065
192	15699	24973
193	15782	24893
194	15857	24802
195	15949	24738
196	16026	24650
197	16105	24565
198	16190	24488
199	16265	24398
200	16349	24320
201	16421	24226
202	16500	24140
203	16584	24063
204	16667	23985
205	16750	23905
206	16838	23833
207	16920	23753
208	16995	23663
209	17079	23586
210	17157	23500
211	17243	23425
212	17327	23347
213	17408	23265
214	17487	23180
215	17568	23099
216	17642	23008
217	17729	22934
218	17805	22846
219	17884	22761
220	17966	22682
221	18045	22597
222	18126	22515
223	18199	22424
224	18287	22351
225	18370	22271
226	18453	22192
227	18534	22111
228	18616	22031
229	18696	21948
230	18776	21865
231	18852	21777
232	18930	21692
233	19019	21619
234	19094	21532
235	19176	21452
236	19260	21373
237	19339	21289
238	19417	21204
239	19507	21132
240	19591	21054
241	19672	20973
242	19753	20891
243	19828	20803
244	19909	20722
245	20001	20651
246	20081	20569
247	20165	20491
248	20241	20404
249	20317	20317
250	20394	20232
251	20483	20158
252	20566	20078
253	20646	19996
254	20724	19911
255	20813	19838
256	20895	19757
257	20973	19672
258	21054	19591
259	21133	19507
260	21223	19434
261	21301	19350
262	21376	19262
263	21449	19174
264	21521	19085
265	21595	18997
266	21668	18909
267	21754	18832
268	21829	18745
269	21906	18661
270	21989	18581
271	22073	18502
272	22147	18415
273	22236	18341
274	22317	18259
275	22396	18177
276	22475	18093
277	22556	18012
278	22637	17931
279	22721	17852
280	22795	17766
281	22877	17685
282	22952	17599
283	23031	17516
284	23120	17442
285	23197	17357
286	23272	17272
287	23356	17192
288	23438	17112
289	23510	17025
290	23594	16945
291	23685	16872
292	23765	16790
293	23844	16707
294	23932	16631
295	24009	16547
296	24087	16463
297	24167	16381
298	24248	16301
299	24336	16224
300	24420	16144
301	24500	16062
302	24580	15981
303	24662	15900
304	24746	15821
305	24828	15740
306	24905	15657
307	24994	15581
308	25076	15500
309	25159	15420
310	25243	15340
311	25326	15261
312	25409	15180
313	25482	15094
314	25564	15014
315	25648	14934
316	25730	14854
317	25806	14769
318	25888	14689
319	25970	14608
320	26045	14523
321	26121	14439
322	26200	14357
323	26293	14282
324	26376	14202
325	26457	14121
326	26531	14036
327	26603	13950
328	26681	13867
329	26776	13793
330	26854	13711
331	26929	13626
332	27005	13543
333	27080	13459
334	27166	13380
335	27253	13302
336	27336	13222
337	27412	13138
338	27499	13060
339	27573	12975
340	27653	12894
341	27734	12812
342	27812	12730
343	27893	12649
344	27974	12568
345	28055	12487
346	28138	12406
347	28216	12324
348	28301	12245
349	28380	12163
350	28462	12082
351	28545	12002
352	28630	11922
353	28712	11842
354	28790	11759
355	28882	11682
