INDEX	UK10YB_GBP	USB10Y_USD	GBP_USD
0	125,202	121,513	1,40563
1	125,13	121,48	1,40599
2	125,729	121,385	1,4082
3	125,373	121,337	1,40846
4	125,17	121,383	1,40767
5	125,163	121,32	1,40668
6	125,454	121,444	1,40818
7	125,407	121,506	1,40792
8	125,536	121,317	1,40944
9	125,726	121,143	1,40698
10	125,846	121,111	1,40405
11	125,799	121,079	1,40173
12	125,807	121,015	1,39874
13	125,734	121,077	1,40047
14	125,41	120,998	1,4008
15	124,929	120,981	1,39978
16	125,088	121,153	1,4005
17	125,283	121,12	1,40351
18	125,755	121,057	1,4085
19	125,935	121,212	1,40926
20	126,095	121,321	1,40968
21	125,846	121,446	1,40959
22	125,869	121,308	1,41113
23	125,822	121,26	1,41442
24	125,745	121,29	1,41344
25	125,935	121,305	1,41302
26	125,994	121,242	1,4135
27	125,876	121,335	1,41374
28	126,237	121,334	1,41672
29	126,447	121,176	1,41621
30	126,39	121,191	1,41454
31	126,509	121,143	1,41745
32	126,659	121,189	1,41802
33	126,611	121,141	1,41818
34	126,609	121,171	1,41946
35	126,587	121,186	1,41805
36	126,479	121,201	1,41762
37	126,205	121,419	1,41762
38	125,79	121,246	1,41954
39	125,602	121,276	1,41739
40	125,459	121,26	1,4158
41	125,478	121,29	1,41887
42	125,168	121,321	1,4227
43	125,167	121,179	1,4226
44	125,356	120,848	1,42416
45	125,42	120,832	1,4233
46	125,58	120,988	1,42845
47	125,802	120,971	1,42581
48	125,881	120,923	1,42494
49	126,322	120,844	1,42371
50	125,922	120,921	1,42614
51	126,213	120,873	1,42567
52	125,959	120,751	1,42714
53	125,922	120,797	1,43121
54	126,072	120,687	1,43246
55	125,508	120,607	1,43395
56	125,421	120,779	1,43438
57	124,961	120,825	1,4341
58	125,216	120,793	1,4328
59	125,627	120,792	1,43194
60	125,741	120,728	1,42881
61	125,427	120,727	1,42884
62	125,425	120,836	1,42979
63	125,625	120,804	1,42999
64	125,648	120,771	1,41928
65	125,546	120,786	1,42386
66	125,434	120,832	1,42138
67	125,607	120,659	1,42046
68	125,686	120,595	1,4194
69	125,483	120,469	1,41986
70	125,265	120,515	1,4178
71	125,434	120,514	1,42382
72	125,083	120,372	1,41934
73	125,074	120,246	1,40864
74	124,85	120,167	1,40858
75	124,939	120,197	1,4079
76	125,174	120,196	1,40666
77	124,76	120,164	1,40383
78	124,703	120,147	1,40372
79	124,57	120,068	1,4003
80	124,236	119,942	1,40102
81	124,476	119,815	1,40161
82	124,6	119,772	1,39909
83	124,578	119,661	1,39669
84	124,46	119,551	1,39448
85	124,74	119,753	1,39384
86	124,618	119,596	1,39336
87	124,677	119,626	1,39427
88	124,831	119,704	1,3953
89	124,668	119,734	1,39552
90	124,717	119,717	1,39773
91	124,287	119,544	1,39774
92	124,359	119,653	1,39891
93	124,415	119,511	1,39685
94	124,338	119,541	1,39564
95	124,477	119,494	1,39454
96	124,324	119,383	1,39374
97	124,126	119,413	1,39318
98	124,014	119,412	1,39384
99	124,042	119,349	1,3943
100	124,226	119,426	1,39111
101	124,395	119,347	1,39828
102	124,127	119,456	1,39298
103	123,864	119,658	1,39168
104	123,621	119,548	1,39191
105	123,595	119,657	1,39284
106	123,563	119,656	1,38205
107	123,43	119,717	1,37595
108	123,519	119,701	1,3777
109	123,663	119,715	1,3781
110	123,48	119,793	1,37744
111	123,177	119,776	1,3784
112	122,969	119,733	1,37336
113	122,998	119,748	1,3746
114	123,021	119,731	1,37656
115	123,11	119,824	1,37635
116	123,028	119,886	1,37699
117	122,931	119,807	1,37562
118	123,08	119,806	1,36833
119	122,927	119,773	1,36606
120	122,524	119,772	1,36268
121	122,201	119,756	1,36146
122	122,274	119,739	1,36056
123	122,172	119,707	1,36136
124	121,764	119,706	1,36424
125	121,682	119,658	1,36582
126	121,961	119,548	1,36011
127	121,864	119,641	1,35736
128	122,003	119,687	1,35872
129	122,122	119,764	1,35982
130	122,472	119,779	1,35863
131	122,234	119,81	1,35886
132	122,293	119,808	1,3582
133	122,417	120,011	1,35767
134	122,194	119,932	1,35764
135	121,982	119,947	1,35772
136	121,975	119,93	1,35465
137	121,26	119,914	1,3566
138	121,65	119,975	1,35464
139	121,523	120,115	1,35295
140	121,803	119,926	1,3547
141	121,906	119,925	1,355
142	121,272	119,929	1,35367
143	121,431	119,881	1,35538
144	121,38	119,911	1,35638
145	121,413	119,989	1,35556
146	121,421	119,878	1,35768
147	121,41	119,909	1,35486
148	121,496	119,923	1,35086
149	121,271	119,875	1,34988
150	121,018	119,906	1,35458
151	120,821	119,811	1,35478
152	120,749	119,669	1,3543
153	121,059	119,684	1,35344
154	121,323	119,573	1,3548
155	121,612	119,604	1,35962
156	121,706	119,477	1,35571
157	121,464	119,461	1,35449
158	121,532	119,476	1,35466
159	121,41	119,459	1,35753
160	121,253	119,521	1,35626
161	121,562	119,551	1,35294
162	121,651	119,566	1,34986
163	122,045	119,69	1,35194
164	121,871	119,626	1,35324
165	121,912	119,657	1,35281
166	121,955	119,64	1,35295
167	121,868	119,639	1,3582
168	121,992	119,732	1,35517
169	122,101	119,684	1,3539
170	122,224	119,637	1,35673
171	122,383	119,604	1,35616
172	122,186	119,639	1,35874
173	122,364	119,654	1,35826
174	122,343	119,543	1,3584
175	122,142	119,511	1,35551
176	122,232	119,463	1,35658
177	121,785	119,369	1,35418
178	122,01	119,415	1,35369
179	122,17	119,241	1,34871
180	122,441	119,256	1,35176
181	122,838	119,099	1,35072
182	122,857	118,894	1,35026
