INSTRUMENT,PREDICTION,MEAN,RELATIVE
USD_TRY_vol,779265.0,270626.3644524237,2.8794866367759053
IN50_USD_vol,113328.4,39873.87612208258,2.8421716427322075
USD_SAR_vol,2853.4,1049.1274685816877,2.719783901814622
USD_HKD_vol,23280.5,8931.985637342908,2.6064193277101477
USD_THB_vol,6496.6,2576.8922800718133,2.521098786410642
CN50_USD_vol,53489.1,21391.68581687612,2.500462116819325
CORN_USD_vol,7458.1,3239.0502692998207,2.3025576573136064
EUR_PLN_vol,192751.0,83855.37163375225,2.2986124352517527
USD_CNH_vol,322087.5,144247.24955116695,2.2328848626382305
USD_INR_vol,4752.5,2128.91921005386,2.2323533826724056
XAG_HKD_vol,29050.9,13933.745062836624,2.0849312133234794
EUR_CZK_vol,252693.2,123650.63195691202,2.0436062153572725
HK33_HKD_vol,193000.9,95271.40035906642,2.025801019745725
EUR_TRY_vol,389066.7,195568.3644524237,1.9894153182154828
GBP_PLN_vol,177686.6,90156.98204667863,1.9708578965964394
XPD_USD_vol,19231.5,9869.536804308796,1.9485716889574798
EUR_HUF_vol,87400.8,47770.491921005385,1.8295980737340616
CHF_ZAR_vol,577365.1,323292.1202872531,1.7858928930497802
AUD_HKD_vol,30558.9,17596.996409335727,1.7365975015933743
WHEAT_USD_vol,17233.3,10054.696588868941,1.7139552494381716
WTICO_USD_vol,127897.4,75919.37522441652,1.6846476887084123
EUR_NOK_vol,509241.6,306607.80969479354,1.6608892007901368
TWIX_USD_vol,9878.6,6017.628366247756,1.641610182411401
US2000_USD_vol,118734.7,72332.91202872532,1.6415031093017145
CHF_HKD_vol,41679.8,25946.287253141832,1.6063878270272753
EUR_SEK_vol,472192.4,301018.3464991023,1.5686499028769603
TRY_JPY_vol,79209.4,51718.79892280072,1.5315398201383943
SOYBN_USD_vol,18998.2,12464.793536804309,1.5241487910653921
EUR_ZAR_vol,570648.5,374984.22980251344,1.5217933306169535
USD_ZAR_vol,508421.3,337798.0502692998,1.5051043059445597
NZD_HKD_vol,59945.0,40407.08258527828,1.4835270493356545
XAG_AUD_vol,21271.0,14683.91382405745,1.4485919935835205
SG30_SGD_vol,15403.3,10681.660682226211,1.4420323260811287
XAG_USD_vol,8655.0,6017.675044883304,1.4382631058417081
NAS100_USD_vol,287297.8,199822.21723518852,1.4377670510074148
GBP_ZAR_vol,551598.0,384664.50807899464,1.4339716516989498
UK100_GBP_vol,61502.4,43463.34290843806,1.4150407190161114
XPT_USD_vol,8762.1,6252.793536804309,1.4013096623814247
GBP_HKD_vol,125698.7,90605.60143626572,1.3873170974801117
DE30_EUR_vol,150247.9,108684.72351885098,1.3824196734874155
CAD_CHF_vol,49016.2,36766.675044883305,1.3331692338282686
BCO_USD_vol,74770.0,56310.619389587075,1.3278134890099687
GBP_USD_vol,110753.9,83488.78456014363,1.326572192702304
AU200_AUD_vol,21254.6,16055.251346499103,1.323841000136982
XAG_NZD_vol,49538.2,38499.24955116697,1.2867315747067185
USD_CHF_vol,23728.7,18452.098743267503,1.2859621190059878
USD_NOK_vol,445037.2,346396.1238779174,1.2847637987913725
GBP_AUD_vol,241425.0,191570.51526032315,1.260240907490018
CAD_HKD_vol,85067.5,67548.66427289048,1.2593513271607415
USD_CAD_vol,81514.6,64849.152603231596,1.25698789772525
JP225_USD_vol,25277.6,20278.235188509876,1.2465384568733515
