,WHEAT_USD,CORN_USD,SUGAR_USD
0,4.48,3.754,0.14692
1,4.515,3.763,0.14636
2,4.513,3.762,0.14638
3,4.499,3.768,0.146
4,4.518,3.783,0.14542
5,4.554,3.822,0.14636
6,4.546,3.835,0.1466
7,4.554,3.797,0.14674
8,4.545,3.809,0.14714
9,4.525,3.806,0.14518
10,4.542,3.813,0.14434
11,4.61,3.832,0.14424
12,4.631,3.833,0.14132
13,4.71,3.857,0.14214
14,4.698,3.848,0.1402
15,4.679,3.843,0.1401
16,4.704,3.846,0.14032
17,4.844,3.868,0.13906
18,4.825,3.86,0.13722
19,4.806,3.851,0.1378
20,4.796,3.854,0.13704
21,4.783,3.849,0.13626
22,4.795,3.851,0.13688
23,4.816,3.852,0.13532
24,4.83,3.849,0.13522
25,4.813,3.846,0.13612
26,4.804,3.851,0.13528
27,4.794,3.846,0.13536
28,4.797,3.846,0.13538
29,4.829,3.827,0.13452
30,4.772,3.822,0.13468
31,4.742,3.818,0.13524
32,4.746,3.825,0.13524
33,4.698,3.81,0.13368
34,4.701,3.811,0.13534
35,4.716,3.833,0.13496
36,4.738,3.841,0.13516
37,4.7,3.839,0.1353
38,4.695,3.839,0.1373
39,4.676,3.837,0.1404
40,4.677,3.84,0.14062
41,4.635,3.809,0.14122
42,4.654,3.812,0.1425
43,4.61,3.798,0.14338
44,4.615,3.801,0.1443
45,4.618,3.804,0.1448
46,4.616,3.809,0.14442
47,4.58,3.799,0.14472
48,4.564,3.786,0.14306
49,4.568,3.785,0.14398
50,4.581,3.793,0.14406
51,4.604,3.798,0.14572
52,4.599,3.79,0.14622
53,4.567,3.761,0.14644
54,4.602,3.766,0.14704
55,4.617,3.767,0.14734
56,4.62,3.772,0.14738
57,4.629,3.772,0.14738
58,4.668,3.792,0.14886
59,4.666,3.782,0.14874
60,4.693,3.79,0.15062
61,4.734,3.798,0.15064
62,4.733,3.793,0.15036
63,4.722,3.796,0.15066
64,4.71,3.791,0.14912
65,4.695,3.781,0.14834
66,4.715,3.781,0.14948
67,4.688,3.782,0.14846
68,4.68,3.779,0.14962
69,4.646,3.769,0.14858
70,4.647,3.768,0.14762
71,4.621,3.745,0.14486
72,4.584,3.738,0.14496
73,4.631,3.759,0.1441
74,4.631,3.756,0.14342
75,4.618,3.749,0.1452
76,4.612,3.747,0.14534
77,4.578,3.751,0.14426
78,4.573,3.757,0.14396
79,4.571,3.758,0.14336
80,4.567,3.758,0.14046
81,4.552,3.756,0.13968
82,4.534,3.748,0.14028
83,4.602,3.772,0.13852
84,4.684,3.781,0.13996
85,4.702,3.786,0.13878
86,4.693,3.796,0.138
87,4.709,3.797,0.13414
88,4.701,3.802,0.13486
89,4.79,3.834,0.13448
90,4.816,3.834,0.1329
91,4.855,3.837,0.13322
92,4.847,3.835,0.13184
93,4.77,3.825,0.12982
94,4.787,3.835,0.1302
95,4.732,3.84,0.12902
96,4.725,3.836,0.131
97,4.745,3.838,0.1314
98,4.769,3.846,0.1316
99,4.746,3.841,0.13052
100,4.746,3.848,0.12996
101,4.77,3.861,0.13046
102,4.819,3.87,0.13036
103,4.875,3.904,0.1302
104,4.853,3.9,0.12922
105,4.854,3.899,0.1304
106,4.902,3.903,0.13162
107,4.91,3.9,0.13142
108,4.949,3.898,0.13134
109,4.944,3.895,0.13156
110,4.918,3.891,0.13176
111,4.904,3.891,0.13236
112,4.938,3.91,0.13346
