DATE,CURRENCY,IMPACT,EVENT,ACTUAL,FORECAST,PREVIOUS
2014-01-12 00:00:00,JPY,Non-Economic,Bank Holiday,,,
2014-01-12 20:30:00,AUD,Medium Impact Expected,ANZ Job Advertisements m/m,-0.7%,,-0.9%
2014-01-12 20:30:00,AUD,Medium Impact Expected,Home Loans m/m,1.1%,1.1%,1.1%
2014-01-13 05:00:00,EUR,Low Impact Expected,Italian Industrial Production m/m,0.3%,0.6%,0.7%
2014-01-13 11:30:00,CAD,Medium Impact Expected,BOC Business Outlook Survey,,,
2014-01-13 15:00:00,USD,Medium Impact Expected,Federal Budget Balance,53.2B,44.3B,-135.2B
2014-01-13 17:00:00,NZD,High Impact Expected,NZIER Business Confidence,52,,38
2014-01-13 19:50:00,JPY,Medium Impact Expected,Current Account,-0.05T,-0.02T,-0.06T
2014-01-13 19:50:00,JPY,Low Impact Expected,Bank Lending y/y,2.3%,,2.2%
2014-01-14 01:00:00,JPY,Low Impact Expected,Economy Watchers Sentiment,55.7,54.2,53.5
2014-01-14 03:00:00,EUR,Low Impact Expected,German WPI m/m,0.4%,0.4%,-0.2%
2014-01-14 03:45:00,EUR,Low Impact Expected,French Final CPI m/m,0.3%,0.4%,0.0%
2014-01-14 05:30:00,GBP,High Impact Expected,CPI y/y,2.0%,2.1%,2.1%
2014-01-14 05:30:00,GBP,Medium Impact Expected,PPI Input m/m,0.1%,-0.2%,-0.7%
2014-01-14 05:30:00,GBP,Medium Impact Expected,RPI y/y,2.7%,2.7%,2.6%
2014-01-14 05:30:00,GBP,Low Impact Expected,Core CPI y/y,1.7%,1.8%,1.8%
2014-01-14 05:30:00,GBP,Low Impact Expected,ONS HPI y/y,5.4%,5.9%,5.5%
2014-01-14 05:30:00,GBP,Low Impact Expected,PPI Output m/m,0.0%,0.2%,-0.2%
2014-01-14 06:00:00,EUR,Medium Impact Expected,Industrial Production m/m,1.8%,1.6%,-0.8%
2014-01-14 08:30:00,USD,Low Impact Expected,NFIB Small Business Index,93.9,93.2,92.5
2014-01-14 09:30:00,USD,High Impact Expected,Core Retail Sales m/m,0.7%,0.4%,0.1%
2014-01-14 09:30:00,USD,High Impact Expected,Retail Sales m/m,0.2%,0.2%,0.4%
2014-01-14 09:30:00,USD,Medium Impact Expected,Import Prices m/m,0.0%,0.3%,-0.9%
2014-01-14 11:00:00,USD,Medium Impact Expected,Business Inventories m/m,0.4%,0.4%,0.8%
2014-01-14 13:45:00,USD,Medium Impact Expected,FOMC Member Plosser Speaks,,,
2014-01-14 14:20:00,USD,Medium Impact Expected,FOMC Member Fisher Speaks,,,
2014-01-14 17:48:00,NZD,Low Impact Expected,FPI m/m,-0.1%,,-0.2%
2014-01-14 19:50:00,JPY,Low Impact Expected,M2 Money Stock y/y,4.2%,4.5%,4.4%
2014-01-14 20:30:00,AUD,Medium Impact Expected,New Motor Vehicle Sales m/m,1.7%,,2.1%
2014-01-14 22:11:00,CNY,Medium Impact Expected,New Loans,483B,589B,625B
2014-01-14 22:11:00,CNY,Low Impact Expected,M2 Money Supply y/y,13.6%,13.9%,14.2%
2014-01-14 23:45:00,JPY,Low Impact Expected,30-y Bond Auction,1.67|3.3,,1.70|4.2
2014-01-15 01:59:00,JPY,Low Impact Expected,Prelim Machine Tool Orders y/y,28.0%,,15.4%
2014-01-15 04:15:00,CHF,Medium Impact Expected,Retail Sales y/y,4.2%,2.3%,1.6%
2014-01-15 06:00:00,EUR,Low Impact Expected,Trade Balance,16.0B,16.7B,14.3B
2014-01-15 06:00:00,GBP,Low Impact Expected,CB Leading Index m/m,0.5%,,0.4%
2014-01-15 09:30:00,USD,High Impact Expected,PPI m/m,0.4%,0.5%,-0.1%
2014-01-15 09:30:00,USD,Medium Impact Expected,Core PPI m/m,0.3%,0.1%,0.1%
2014-01-15 09:30:00,USD,Medium Impact Expected,Empire State Manufacturing Index,12.5,3.2,1.0
2014-01-15 10:15:00,GBP,High Impact Expected,BOE Gov Carney Speaks,,,
2014-01-15 11:30:00,USD,Medium Impact Expected,Crude Oil Inventories,-7.7M,-0.7M,-2.7M
2014-01-15 15:00:00,USD,Medium Impact Expected,Beige Book,,,
2014-01-15 19:50:00,JPY,Medium Impact Expected,Core Machinery Orders m/m,9.3%,1.2%,0.6%
2014-01-15 19:50:00,JPY,Medium Impact Expected,Tertiary Industry Activity m/m,0.6%,0.8%,-0.9%
2014-01-15 19:50:00,JPY,Low Impact Expected,PPI y/y,2.5%,2.7%,2.6%
2014-01-15 20:01:00,GBP,Low Impact Expected,RICS House Price Balance,56%,59%,58%
2014-01-15 20:30:00,AUD,High Impact Expected,Employment Change,-22.6K,10.3K,15.4K
2014-01-15 20:30:00,AUD,High Impact Expected,Unemployment Rate,5.8%,5.8%,5.8%
2014-01-15 22:18:00,CNY,Low Impact Expected,Foreign Direct Investment ytd/y,5.3%,,5.5%
2014-01-16 03:00:00,EUR,Low Impact Expected,German Final CPI m/m,0.4%,0.4%,0.4%
2014-01-16 05:00:00,EUR,Medium Impact Expected,ECB Monthly Bulletin,,,
2014-01-16 05:00:00,EUR,Low Impact Expected,Italian Trade Balance,3.09B,3.88B,4.06B
2014-01-16 06:00:00,EUR,Medium Impact Expected,German Buba President Weidmann Speaks,,,
2014-01-16 06:00:00,EUR,Medium Impact Expected,Final CPI y/y,0.8%,0.8%,0.8%
2014-01-16 06:00:00,EUR,Low Impact Expected,Final Core CPI y/y,0.7%,0.9%,0.7%
2014-01-16 06:35:00,GBP,Low Impact Expected,30-y Bond Auction,3.59|1.9,,3.61|1.7
2014-01-16 09:30:00,CAD,Medium Impact Expected,Foreign Securities Purchases,8.66B,7.21B,4.44B
2014-01-16 09:30:00,USD,High Impact Expected,Core CPI m/m,0.1%,0.1%,0.2%
2014-01-16 09:30:00,USD,High Impact Expected,Unemployment Claims,326K,327K,328K
2014-01-16 09:30:00,USD,Medium Impact Expected,CPI m/m,0.3%,0.3%,0.0%
2014-01-16 09:30:00,USD,Medium Impact Expected,Treasury Sec Lew Speaks,,,
2014-01-16 10:00:00,USD,Medium Impact Expected,TIC Long-Term Purchases,-29.3B,42.3B,28.7B
2014-01-16 11:00:00,USD,High Impact Expected,Philly Fed Manufacturing Index,9.4,8.8,7.0
2014-01-16 11:00:00,USD,Medium Impact Expected,NAHB Housing Market Index,56,58,57
2014-01-16 11:30:00,USD,Low Impact Expected,Natural Gas Storage,-287B,-296B,-157B
2014-01-16 12:10:00,USD,High Impact Expected,Fed Chairman Bernanke Speaks,,,
2014-01-16 13:00:00,CHF,High Impact Expected,SNB Chairman Jordan Speaks,,,
2014-01-17 01:00:00,JPY,Low Impact Expected,Consumer Confidence,41.3,43.4,42.5
2014-01-17 03:45:00,EUR,Low Impact Expected,French Gov Budget Balance,-87.0B,,-86.0B
2014-01-17 04:15:00,CHF,Medium Impact Expected,PPI m/m,0.0%,0.2%,-0.1%
2014-01-17 05:30:00,GBP,High Impact Expected,Retail Sales m/m,2.6%,0.5%,0.1%
2014-01-17 08:15:00,GBP,Medium Impact Expected,MPC Member Broadbent Speaks,,,
2014-01-17 09:30:00,USD,High Impact Expected,Building Permits,0.99M,1.01M,1.02M
2014-01-17 09:30:00,USD,Medium Impact Expected,Housing Starts,1.00M,0.99M,1.11M
2014-01-17 10:15:00,USD,Medium Impact Expected,Capacity Utilization Rate,79.2%,79.2%,79.1%
